StockCode,Prediksi_Demand_AI_7Hari,Kontribusi_%,Kumulatif_%,Kategori_ABC,Safety_Stock_Rekomendasi,Rekomendasi_Total_Stok_Gudang
23084,33238,"0,88256%","0,88%",Kelas A (Fast-Moving),260,33498
22197,32981,"0,87572%","1,76%",Kelas A (Fast-Moving),260,33240
85099B,32348,"0,85891%","2,62%",Kelas A (Fast-Moving),260,32607
84077,31710,"0,84199%","3,46%",Kelas A (Fast-Moving),260,31970
85123A,27788,"0,73784%","4,2%",Kelas A (Fast-Moving),260,28047
21212,23897,"0,63451%","4,83%",Kelas A (Fast-Moving),260,24156
84879,22367,"0,59389%","5,43%",Kelas A (Fast-Moving),260,22626
23203,20959,"0,55651%","5,98%",Kelas A (Fast-Moving),260,21218
17003,20503,"0,54441%","6,53%",Kelas A (Fast-Moving),260,20762
23571,18275,"0,48525%","7,01%",Kelas A (Fast-Moving),260,18534
23570,16642,"0,44189%","7,45%",Kelas A (Fast-Moving),260,16902
22952,16537,"0,43909%","7,89%",Kelas A (Fast-Moving),260,16796
23310,15953,"0,4236%","8,32%",Kelas A (Fast-Moving),260,16213
22492,15934,"0,42307%","8,74%",Kelas A (Fast-Moving),260,16193
22578,15677,"0,41627%","9,16%",Kelas A (Fast-Moving),260,15937
20668,15199,"0,40355%","9,56%",Kelas A (Fast-Moving),260,15458
22086,14783,"0,39252%","9,95%",Kelas A (Fast-Moving),260,15042
22178,14633,"0,38853%","10,34%",Kelas A (Fast-Moving),260,14892
22065,14401,"0,38238%","10,72%",Kelas A (Fast-Moving),260,14660
23343,14233,"0,37791%","11,1%",Kelas A (Fast-Moving),260,14492
22616,14197,"0,37695%","11,48%",Kelas A (Fast-Moving),260,14456
21977,14093,"0,37419%","11,85%",Kelas A (Fast-Moving),260,14352
22577,13707,"0,36396%","12,22%",Kelas A (Fast-Moving),260,13967
22386,13527,"0,35916%","12,57%",Kelas A (Fast-Moving),260,13786
84946,12995,"0,34504%","12,92%",Kelas A (Fast-Moving),260,13254
22469,12623,"0,33516%","13,25%",Kelas A (Fast-Moving),260,12882
20725,12420,"0,32976%","13,58%",Kelas A (Fast-Moving),260,12679
21108,12122,"0,32186%","13,91%",Kelas A (Fast-Moving),260,12381
23344,12006,"0,31878%","14,23%",Kelas A (Fast-Moving),260,12265
23199,11903,"0,31604%","14,54%",Kelas A (Fast-Moving),260,12162
23209,11534,"0,30625%","14,85%",Kelas A (Fast-Moving),260,11793
23077,11524,"0,30597%","15,15%",Kelas A (Fast-Moving),260,11783
23307,11511,"0,30564%","15,46%",Kelas A (Fast-Moving),260,11770
84991,11340,"0,30111%","15,76%",Kelas A (Fast-Moving),260,11600
20724,11033,"0,29294%","16,05%",Kelas A (Fast-Moving),260,11292
23355,10952,"0,29078%","16,34%",Kelas A (Fast-Moving),260,11211
22338,10948,"0,2907%","16,63%",Kelas A (Fast-Moving),260,11208
23201,10850,"0,28809%","16,92%",Kelas A (Fast-Moving),260,11109
22865,10847,"0,288%","17,21%",Kelas A (Fast-Moving),260,11106
22910,10748,"0,28539%","17,5%",Kelas A (Fast-Moving),260,11008
22909,10672,"0,28335%","17,78%",Kelas A (Fast-Moving),260,10931
23493,10400,"0,27614%","18,06%",Kelas A (Fast-Moving),260,10659
23206,10085,"0,26777%","18,32%",Kelas A (Fast-Moving),260,10344
22355,9919,"0,26336%","18,59%",Kelas A (Fast-Moving),260,10178
23293,9900,"0,26287%","18,85%",Kelas A (Fast-Moving),260,10160
22961,9872,"0,26211%","19,11%",Kelas A (Fast-Moving),260,10131
22998,9640,"0,25594%","19,37%",Kelas A (Fast-Moving),260,9899
23202,9597,"0,25482%","19,62%",Kelas A (Fast-Moving),260,9856
22944,9479,"0,25167%","19,87%",Kelas A (Fast-Moving),260,9738
16169E,9470,"0,25144%","20,13%",Kelas A (Fast-Moving),260,9729
35953,9346,"0,24816%","20,37%",Kelas A (Fast-Moving),260,9606
22693,9278,"0,24634%","20,62%",Kelas A (Fast-Moving),260,9537
22959,9024,"0,23961%","20,86%",Kelas A (Fast-Moving),260,9284
85099F,9006,"0,23913%","21,1%",Kelas A (Fast-Moving),260,9266
21810,8954,"0,23775%","21,34%",Kelas A (Fast-Moving),260,9213
22629,8914,"0,23668%","21,57%",Kelas A (Fast-Moving),260,9173
22610,8834,"0,23456%","21,81%",Kelas A (Fast-Moving),260,9093
23503,8827,"0,23438%","22,04%",Kelas A (Fast-Moving),260,9086
21731,8767,"0,23278%","22,28%",Kelas A (Fast-Moving),260,9026
